Tweet,Target,Stance
He who exalts himself shall      be humbled, and he who humbles himself shall be exalted.Matt 23:12.     #SemST,Atheism
"RT @prayerbullets: I remove Nehushtan -previous moves of God that have become idols, from the high places -2 Kings 18:4 #SemST",Atheism,AGAINST
@Brainman365 @heidtjj @BenjaminLives I have sought the truth of my soul and found it strong enough to stand on its own merits. #SemST,Atheism,AGAINST
#God is utterly powerless without Human intervention... #SemST,Atheism,AGAINST
@David_Cameron   Miracles of #Multiculturalism   Miracles of shady 786  #Taqiya #Tawriya #Jaziya #Kafirs #Dhimmi #Jihad #Allah #SemST,Atheism,AGAINST
This world needs a tight group hug. Tight enough to relieve them from all this anger and hate. #MakePeaceWithEachOther #SemST,Atheism,AGAINST
"Morality is not derived from religion, it precedes it. -Christopher 'The Hitch' Hitchens #freethinkers #SemST",Atheism,AGAINST
A Godly husband  - knows you - trusts you - loves you - respects you - honors you - supports you - wants you - appreciates you #God #SemST,Atheism,AGAINST
@SecularDutchess I'll be your huckleberry @DeanModified #SemST,Atheism,AGAINST
#BIBLE = Big Irrelevant Book of Lies and Exaggerations ~ #Judaism #God #TeamJesus #Islam ~ #Truth & #Freedom = #SemST,Atheism,AGAINST
"If only dreams were real, now it's gone. #SingleBecause #getonyourfeet #SemST",Atheism,AGAINST
Happy Independence Day to America and her beautiful constitution #IndependenceDay #USA #SemST,Atheism,AGAINST
Let my house be built by wisdom and become strong through good sense -Prov. 24:3 #SemST,Atheism,AGAINST
"These days, the cool kids are atheists.  #freethinker #SemST",Atheism,AGAINST
"Next time you hear someone say that our Founding Fathers intended a ""Christian Nation,"" show 'em those quotes. #SemST",Atheism,AGAINST
#ILoveIslamBecause and v should love Islam because its a Deen instead of just a #SemST,Atheism,AGAINST
"Be a sinner and sin strongly, but more strongly have faith and rejoice in Christ. ~ Martin Luther #SemST",Atheism,AGAINST
#God > My fears God > My insecurities God > My worry God > My everything #SemST,Atheism,AGAINST
"Mary, Queen of martyrs, pray for us. #Catholic #SemST",Atheism,AGAINST
"America, like all of us, has both beauty and brutality coursing through its blood. #4thofjuly #spirituality #SemST",Atheism,AGAINST
"Every life is a profession of faith, and exercises an inevitable and silent influence. ~Henri Frederic Amiel #SemST",Atheism,AGAINST
I am Baloch and I will not allow Talibanization in Balochistan ... #Taliban #Extremism #SemST,Atheism,AGAINST
He became a slave to the cross that men could go free! #SemST,Atheism,AGAINST
Exo.20.13-15 - ...Do not commit murder...DO NOT COMMIT ADULTERY...Do not steal. #SemST,Atheism,AGAINST
"Phew! Am glad we came to our senses and worship a 2,000 year old carpenter. - Bart Simpson #jokes #SemST",Atheism,AGAINST
"Exo.28.12 - ...So that I, the Lord, will always remember... #SemST",Atheism,AGAINST
"#JaganNathAzad, a #Hindu, was asked by founder of #Pakistan to write the first National Anthem. #SemST",Atheism,AGAINST
"Father, grant us grace to remain holy and a vessel of honour in ur house. #OpenHeaven #NatiVarietySunday #SundayMorningShow #SemST",Atheism,AGAINST
"Who cares if this person or that person is xtian or atheist. Polpott, hitler or mao.   God still does not exist.   #SemST",Atheism,AGAINST
